program,cache-misses-percent,context-switches,instructions-per-cycle,elapsed,user,sys,0-31,32-63,64-127,128-255,256-511,512-1023,1024-2047,2048-4095,4096-8191,8192-16383,16384-32767,32768-65535,65536-131071
fib_naive_45_1,3.515819599162515e-05,13,1.641060769523361,42.570594004,42.569539,0.0,12,25,3,2,1,0,0,0,0,0,0,0,0
fib_naive_45_2,3.641460382371615e-05,187,1.6407487131443346,42.609684732,42.584442,0.007997,18,34,2,1,1,1,0,0,0,0,0,0,0
fib_naive_45_3,1.567915108601927e-05,28,1.6412372899480239,42.569994501,42.564413,0.004,17,27,2,2,0,0,0,0,0,0,0,0,0
copy_1000_1,0.015093386205393878,24340,0.8880179181127585,55.176587511,0.029462,2.925221,1,10,2111,62,10,41,1881,788,1345,181,4,3,3
copy_1000_2,0.014651319363379283,24217,0.8912838362080818,54.319604003,0.055508,2.890692,54,13,2211,69,10,58,2104,883,1232,146,4,4,3
copy_1000_3,0.01523604744686147,24607,0.8893108784773595,54.943113212,0.047882,2.9034,40,21,2196,50,8,31,2041,998,1170,151,3,4,0
add_100000_1,8.985117528793173e-06,544,2.660293927436341,83.272716628,83.212486,0.019995,0,4,2,0,0,0,0,0,0,0,0,0,0
add_100000_2,8.41852199509486e-06,224,2.661019962478874,83.21971075,83.191213,0.003999,0,3,1,0,0,0,0,0,0,0,0,0,0
add_100000_3,7.961967513900065e-06,365,2.66059431146746,83.254986044,83.201191,0.015995,0,0,0,0,0,0,0,0,0,0,0,0,0
fib_mem_100000000_1,1.0483628922597587e-05,11,1.7408997179902923,68.804557012,68.803091,0.0,45,33,4,3,1,0,0,0,0,0,0,0,0
fib_mem_100000000_2,8.292183052783932e-06,362,1.7445576892525079,68.720504681,68.65396,0.031993,39,35,1,2,0,0,0,0,0,0,0,0,0
fib_mem_100000000_3,1.025451607275948e-05,285,1.7413274497647293,68.828443747,68.791824,0.007998,17,28,0,2,0,0,0,0,0,0,0,0,0
disk_write_1000000_1,0.005419259894833743,196,1.1054926945131769,41.800865971,10.953834,30.813907,9,34,9,33,1,1,1,0,0,0,0,0,0
disk_write_1000000_2,0.0064087352654542615,186,1.126184990247854,41.003345864,11.37195,29.613455,9,39,7,22,0,0,0,1,0,0,0,0,0
disk_write_1000000_3,0.003945784736841425,315,1.1155623992600667,41.483258578,11.044563,30.355561,19,35,6,3,1,0,2,1,0,0,0,0,0
prime_naive_20000000_1,1.6123580307288806e-05,255,1.6895921536941607,74.395829198,74.372035,0.007998,14,43,4,1,0,1,0,0,0,0,0,0,0
prime_naive_20000000_2,1.5274690714517354e-05,313,1.6893745621628045,74.422016754,74.389639,0.011998,29,6,2,0,0,0,0,0,0,0,0,0,0
prime_naive_20000000_3,2.1331539288094243e-05,292,1.689282583025658,74.434271649,74.401033,0.007997,15,27,5,2,0,0,0,0,0,0,0,0,0
prime_sieve_500000000_1,0.02187316210926022,152,0.6830721949947411,65.403832426,63.923254,1.459617,0,31,1,5,0,0,0,0,0,0,0,0,0
prime_sieve_500000000_2,0.021809654942267984,60,0.6860040984534578,65.115830347,63.701404,1.404119,0,0,4,0,0,0,0,0,0,0,0,0,0
prime_sieve_500000000_3,0.02177343427999307,125,0.6878244793496564,64.948084526,63.538399,1.396052,0,4,1,3,1,0,0,0,0,0,0,0,0
thread_add_30000_1,1.6271190489709625e-05,17772,2.658512235369189,51.075166301,199.939281,0.05188,208,206,142,42,20,33,21,53,122,4151,162,8,0
thread_add_30000_2,1.6029515000838594e-05,17815,2.6585226910964286,50.785054777,199.925521,0.067828,267,220,114,44,13,23,12,66,158,4318,139,12,0
thread_add_30000_3,1.6483559331489455e-05,18007,2.658476169224561,50.969333771,199.945786,0.051884,194,207,96,45,24,30,14,62,190,4385,131,9,0
thread_copy_150_1,0.018104627785684876,39530,0.8139970208945096,34.523964158,0.087255,4.412637,1092,525,406,307,135,177,2492,2192,3772,3520,1470,156,37
thread_copy_150_2,0.01822357953547372,39521,0.8125580937069424,36.809027153,0.102934,4.383739,907,516,349,262,99,101,2029,1697,2973,2204,2481,202,18
thread_copy_150_3,0.017856515291473297,39393,0.8155214389495974,36.890376558,0.106849,4.359442,1099,586,438,330,145,167,2586,2245,4232,4080,1286,77,16
thread_disk_write_500000_1,0.005104623687187422,15499,1.048259908060328,44.02192233,48.316468,124.704784,211,219,173,37,24,48,22,72,149,3488,114,9,0
thread_disk_write_500000_2,0.005135494151620466,15490,1.0397078493517684,44.47741686,48.035421,126.646819,154,131,61,18,12,40,20,83,190,4309,113,7,0
thread_disk_write_500000_3,0.005326201355497467,15246,1.0567128582862495,43.784698878,47.623907,124.185428,203,299,266,39,27,37,18,61,168,4201,118,9,0
