total-operators,distinct-operators,total-operands,distinct-operands,function-calls,loops,assignments,max-cyclomatic-complexity,sum-cyclomatic-complexity,dynamic-memory-calls,file-access,file-operation,file-position,input-output,optimization
643,61,358,209,54,2,13,3,5,4,6,4,5,30,0
899,96,471,268,75,3,8,5,8,6,6,4,5,30,0
681,65,375,207,56,3,10,5,9,6,6,4,5,30,0
659,68,362,213,57,2,6,4,7,4,6,4,5,31,0
659,68,362,213,57,2,6,4,7,4,6,4,5,31,1
659,68,362,213,57,2,6,4,7,4,6,4,5,31,2
659,68,362,213,57,2,6,4,7,4,6,4,5,31,3
995,75,552,346,76,3,9,8,12,4,6,5,5,31,0
995,75,552,346,76,3,9,8,12,4,6,5,5,31,1
995,75,552,346,76,3,9,8,12,4,6,5,5,31,2
995,75,552,346,76,3,9,8,12,4,6,5,5,31,3
649,61,369,212,67,1,3,2,4,4,10,5,8,35,0
638,62,344,207,54,2,5,3,5,4,6,4,5,30,0
606,56,327,202,56,0,0,2,3,4,6,4,5,30,0
606,56,327,202,56,0,0,2,3,4,6,4,5,30,1
606,56,327,202,56,0,0,2,3,4,6,4,5,30,2
606,56,327,202,56,0,0,2,3,4,6,4,5,30,3
891,70,496,333,71,1,2,3,5,6,6,4,5,30,0
622,61,340,206,54,2,7,3,5,4,6,4,5,30,0
646,59,344,204,55,2,3,4,6,4,6,4,5,31,0
654,64,356,207,57,3,5,5,9,6,6,4,5,31,0
848,93,435,266,75,1,2,3,4,6,6,4,5,30,0
630,61,339,206,56,1,4,4,5,6,6,4,5,30,0
804,62,435,265,62,2,9,6,8,7,6,4,5,30,0
1152,105,617,386,80,4,17,4,8,4,6,4,5,30,0
1534,119,828,525,101,6,16,8,17,4,6,5,5,32,0
1534,119,828,526,101,6,16,8,17,4,6,5,5,32,1
1534,119,828,526,101,6,16,8,17,4,6,5,5,32,2
1534,119,828,526,101,6,16,8,17,4,6,5,5,32,3
1189,107,650,392,94,4,10,5,8,4,10,5,8,36,0
1456,115,780,512,95,4,11,5,9,6,6,4,5,30,0
1131,106,599,383,80,4,11,4,8,4,6,4,5,30,0
1215,111,637,384,81,5,13,5,10,4,6,4,5,31,0
1313,107,694,442,88,4,13,6,11,7,6,4,5,30,0
